Brand Name,Generic Name,Manufactor Name,Total Spending 2016,Total Units 2016,Total Spending 2017,Total Units 2017,Total Spending 2018,Total Units 2018,Total Spending 2019,Total Units 2019,Total Spending 2020,Total Units 2020
1st Tier Unifine Pentips,"Pen Needle, Diabetic",Owen Mumford Us,216273.87,1052113,217938.04,1014318,167193.78,761658,139201.68,642471,118923.24,547006
1st Tier Unifine Pentips Plus,"Pen Needle, Diabetic",Owen Mumford Us,378040.97,1750907,402124.68,1850703,369402.85,1813908,343031.42,1830596,210217.15,1046616
Abacavir,Abacavir Sulfate,Major Pharmaceu,,,13130.04,2832,18653.71,4401,9639.18,2474,2218.37,1008
Abacavir,Abacavir Sulfate,Aurobindo Pharm,7153427.29,1558829,5846822.45,1296616,4621104.64,1061307,3097563.43,836918,2415760.81,715751
Abacavir,Abacavir Sulfate,Apotex Corp,2491345.83,533661,3407719.46,796097,3791444.44,929904,385129.88,102341,38578.1,11460
Abacavir,Abacavir Sulfate,Mylan,2925790.86,613133,1616845.7,346490,1468380.35,329353,1937920.78,500896,1670937.94,414685
Abacavir,Abacavir Sulfate,Strides Pharma,,,588466.2,125413,31864.29,7006,6729.76,1200,3879.57,660
Abacavir,Abacavir Sulfate,"Cipla USA, Inc.",,,,,227189.15,50997,698311.33,192395,758387.24,201025
Abacavir,Abacavir Sulfate,Camber Pharmace,6766490.99,1547860,5320985.69,1418356,4230093.55,1413429,4234275.07,1473874,4217073.33,1343347
Abacavir,Abacavir Sulfate,Rising Pharm,,,,,88001.92,175280,142257.84,312210,134219.38,284470
Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,Aurobindo Pharm,,,4995527.15,308673,5046603.12,442317,4039930.74,324606,2816938.69,248430
Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,Prasco Labs,6765112.2,199418,17463919.39,773452,6315152.27,555029,938661.98,72843,151535.06,13266
Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,Burel Pharmaceu,,,,,,,3423734.03,287300,2091576.23,174960
Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,"Cipla USA, Inc.",,,3951652.78,260722,6073233.32,552209,5147233.64,502897,2201494.1,203610
Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,Lupin Pharmaceu,,,6153237.12,392074,4837959.11,434734,3869971.45,333466,4155363.86,369520
Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,Teva USA,7990669.89,240422,18687459.89,768949,2307982.32,240575,2021738.55,172505,3430289.77,369365
Abacavir-Lamivudine-Zidovudine,Abacavir/Lamivudine/Zidovudine,Lupin Pharmaceu,12787721.57,608455,10158493.71,468341,6955321.12,330735,4849598.99,225020,2085404.63,96333
Abelcet,Amphotericin B Lipid Complex,Leadiant Biosci,752938.84,85650,675695.03,68490,766166.41,101857.38,618247.3,120570,637913.66,124320
Abilify Maintena,Aripiprazole,Otsuka America,201823388,117225.314,261850803,138042.611,345893454.1,165452.467,422038582.3,189937.35,460313112,204264.771
Abilify Mycite,Aripiprazole,Otsuka America,,,,,,,40552.86,720,92372.21,1620
Abilify*,Aripiprazole,Otsuka America*,92466456.99,2936202.25,37757403.48,1158482.5,31071646.36,950552.33,26854630.75,808281.5,24481910.61,716447.5
Abiraterone Acetate,Abiraterone Acetate,Wockhardt USA L,,,,,,,8538883.37,196154,15147557.6,500973
Abiraterone Acetate,Abiraterone Acetate,Mylan,,,,,4650291.61,80017,89624661.26,1938999,46509342.26,1227017
Abiraterone Acetate,Abiraterone Acetate,Dr.Reddy'S Lab,,,,,,,,,626395.12,20008
Abiraterone Acetate,Abiraterone Acetate,Major Pharmaceu,,,,,,,,,4632.8,556
Abiraterone Acetate,Abiraterone Acetate,"Celltrion USA,",,,,,,,,,945649.24,293706
Abiraterone Acetate,Abiraterone Acetate,AHP,,,,,,,,,14699.69,1230
Abiraterone Acetate,Abiraterone Acetate,Amneal Pharmace,,,,,,,20386448.34,439622,24080851.95,967757
Abiraterone Acetate,Abiraterone Acetate,Northstar Rx Ll,,,,,,,,,445297.27,17602
Abiraterone Acetate,Abiraterone Acetate,Avkare,,,,,,,395384.44,7130,1273345.73,34246
Abiraterone Acetate,Abiraterone Acetate,Mylan Instituti,,,,,,,,,10415.95,1236
